  NC rank    NC index    NC phen. index  NC phen. seq.    modularity: Louvain    modularity: spinglass
      206         249                20  (((......)))     0.636993385394         0.677643448873
      207         243                20  (((......)))     0.623767427119         0.667488162765
      208          64                 5  .((((...))))     0.783650034131         0.782323981306
      209          38                 4  ..(((...))).     0.649540317689         0.662664317179
      210          35                 4  ..(((...))).     0.591578138246         0.642510896235
      211         187                14  .(((...)))..     0.58827893761          0.645116915572
      212         162                13  .(((.....)))     0.68378265046          0.677925570499
      213          41                 4  ..(((...))).     0.655245818054         0.684268704715
      214         117                 7  ((((....))))     0.72046278816          0.732154167615
      215         284                23  (((...)))...     0.5452760954           0.621660109706
      216          42                 4  ..(((...))).     0.620826272478         0.648940540606
      217         197                15  ((((...)))).     0.745857010123         0.748553703726
      218          47                 5  .((((...))))     0.728354764393         0.727772581998
      219          57                 5  .((((...))))     0.709998173113         0.725840481399
      220         202                15  ((((...)))).     0.713105406356         0.725565285465
      221          52                 5  .((((...))))     0.714052747213         0.730011611324
      222          59                 5  .((((...))))     0.718807172845         0.718330607364
      223         115                 7  ((((....))))     0.720015478783         0.728278495353
      224         105                 7  ((((....))))     0.70623658273          0.721111064631
      225          99                 7  ((((....))))     0.738755070407         0.735019225591
      226         185                14  .(((...)))..     0.667657395294         0.676418237492
      227         208                15  ((((...)))).     0.740908966967         0.736515147995
      228          68                 5  .((((...))))     0.725874807763         0.724742061025
      229         291                23  (((...)))...     0.563689526262         0.614782722277
      230         160                13  .(((.....)))     0.617833535431         0.688867078459
      231         352                32  ((.......)).     0.525786120636         0.613517008339
      232         253                20  (((......)))     0.64230738111          0.691650806493
      233         183                14  .(((...)))..     0.669600880576         0.685262026019
      234          71                 5  .((((...))))     0.647353480149         0.661921927781
      235          43                 4  ..(((...))).     0.619060883954         0.639182472983
      236          69                 5  .((((...))))     0.669096966227         0.667591801547
      237          40                 4  ..(((...))).     0.636153137914         0.643196152662
      238          63                 5  .((((...))))     0.662868341065         0.655214032693
      239          37                 4  ..(((...))).     0.622926692149         0.64562080156
      240         180                14  .(((...)))..     0.634676123539         0.634371362989
      241          75                 5  .((((...))))     0.673821992912         0.679094839772
      242         381                38  (((....).)).     0.627144370558         0.643717956681
      243         350                32  ((.......)).     0.452705308546         0.53265878722
      244          22                 3  ..(((....)))     0.620993516097         0.659065185936
      245         296                23  (((...)))...     0.449590458182         0.539994657851
      246         126                 8  ...(((...)))     0.427772402926         0.53428760647
      247         128                 8  ...(((...)))     0.46948762223          0.542764268075
      248         305                25  .((.......))     0.455526058457         0.544642674659
      249         186                14  .(((...)))..     0.635492608097         0.650798608791
      250         425                46  (.((....))).     0.566869079547         0.60422353238
      251         132                 9  ...((.....))     0.45724105408          0.551152402256
      252         133                 9  ...((.....))     0.445147846905         0.534922481529
      253         177                14  .(((...)))..     0.658801221088         0.654259226503
      254         297                23  (((...)))...     0.461475531757         0.544600507115
      255         288                23  (((...)))...     0.472964643428         0.544756942985
      256         165                13  .(((.....)))     0.624252338734         0.62519267757
      257         242                20  (((......)))     0.613732093062         0.630125826553
      258          70                 5  .((((...))))     0.561349943529         0.583053202306
      259          74                 5  .((((...))))     0.565898097566         0.59022750558
      260         295                23  (((...)))...     0.52270222124          0.565049635009
      261         306                25  .((.......))     0.512495907877         0.553485093637
      262          61                 5  .((((...))))     0.595857315684         0.627490281083
      263         304                25  .((.......))     0.52171124695          0.570386850915
      264         314                28  ((.(....).))     0.653241159557         0.664564609543
      265         427                46  (.((....))).     0.613496723059         0.633166137567
      266         382                38  (((....).)).     0.59595428599          0.609431544837
      267         250                20  (((......)))     0.547465809749         0.575273413733
      268         226                17  (((....)))..     0.504661709342         0.581060684145
      269         225                17  (((....)))..     0.569046343668         0.571024939667
      270         406                42  (.((...)).).     0.636483965015         0.630615576843
      271         367                35  ((.(....))).     0.562840079486         0.618179921386
      272          92                 6  .(((....))).     0.53661887621          0.579600297868
      273          91                 6  .(((....))).     0.557307682235         0.568401402668
      274         391                41  (.((....)).)     0.601721972323         0.628214745068
      275          21                 3  ..(((....)))     0.564635736138         0.579873399549
      276         366                35  ((.(....))).     0.650916262208         0.655318902705
      277         274                22  (((.....))).     0.557356590489         0.589104339797
      278         270                22  (((.....))).     0.578254847645         0.589104339797
      279         268                22  (((.....))).     0.53049976916          0.589104339797
      280         414                43  (.(....).)..     0.583837306474         0.583837306474
      281         312                28  ((.(....).))     0.636351725876         0.633775195263
      282         237                19  .((......)).     0.421549479167         0.496063232422
      283         230                17  (((....)))..     0.40321858724          0.496063232422
      284          78                 5  .((((...))))     0.391916910807         0.5
      285          76                 5  .((((...))))     0.381052652995         0.492095947266
      286          66                 5  .((((...))))     0.389729817708         0.496063232422
      287          45                 5  .((((...))))     0.434438069661         0.5
      288         229                17  (((....)))..     0.430139343631         0.492946126317
      289         368                35  ((.(....))).     0.621991734615         0.617544635646
      290         236                19  .((......)).     0.404869062085         0.486399589422
      291         309                27  .(.(....).).     0.635796542497         0.630085323063
      292         413                43  (.(....).)..     0.564398334325         0.562479952409
      293         310                27  .(.(....).).     0.623065042122         0.620788229194
      294         417                44  (.(.....).).     0.559106512976         0.562303162006
      295         273                22  (((.....))).     0.469050860164         0.462303701073
      296         271                22  (((.....))).     0.484848484848         0.473430595013
      297          93                 6  .(((....))).     0.494091847685         0.507601131634
      298          89                 6  .(((....))).     0.449483976652         0.500464908786
      299         307                26  .(.((...)).)     0.423743648196         0.467679367088
      300          77                 5  .((((...))))     0.436442457128         0.465664648952
      301         224                17  (((....)))..     0.535444382914         0.523994194147
      302         394                41  (.((....)).)     0.680929725638         0.674093507714
      303          72                 5  .((((...))))     0.467389503198         0.478701550795
      304         318                28  ((.(....).))     0.598789183561         0.595572983923
      305         315                28  ((.(....).))     0.486419753086         0.488888888889
      306         393                41  (.((....)).)     0.493964645983         0.492999540224
      307         392                41  (.((....)).)     0.476523264891         0.494588757049
      308         214                16  .((....))...     0.584613305707         0.575514616459
      309           8                 2  ...((....)).     0.52402037298          0.540361565074
      310         138                10  ..((....))..     0.577171536152         0.583395334092
